Rank,Title,Release_Date,Metascore,Userscore,Summary,Link
1.,Mr. Bachmann and His Class,"February 20, 2022",92,tbd,"In a German city with a complex history of both excluding and integrating foreigners, a charismatic elementary school teacher provides his pupils, who all come from different countries originally, with the key to feeling at home in Germany and becoming citizens of the world. [MUBI]",https://www.metacritic.com/movie/mr-bachmann-and-his-class
2.,Hit the Road,"April 22, 2022",91,tbd,"A family of four – two middle-aged parents and their sons, one a taciturn adult, the other an ebullient six-year-old – drive across the Iranian countryside. Over the course of the trip, they bond over memories of the past, grapple with fears of the unknown, and fuss over their sick dog.",https://www.metacritic.com/movie/hit-the-road
3.,The Worst Person in the World,"February 4, 2022",90,7.7,"Director Joachim Trier returns with another modern twist on a classically constructed character portrait of contemporary life in Oslo. Chronicling four years in the life of Julie, The Worst Person in the World examines one woman’s quest for love and meaning in the modern world. Fluidly told in twelve chapters, the film features a breakout performance by Cannes Best Actress winner Renate Reinsve as she explores new professional avenues and embarks on relationships with two very different men (Anders Danielsen Lie and Herbert Nordrum) in her search for happiness and identity. [Neon]",https://www.metacritic.com/movie/the-worst-person-in-the-world
4.,Who We Are: A Chronicle of Racism in America,"January 14, 2022",89,3.8,"Interweaving lecture, personal anecdotes, interviews, and shocking revelations, criminal defense/civil rights lawyer Jeffery Robinson draws a stark timeline of anti-Black racism in the United States, from slavery to the modern myth of a post-racial America.",https://www.metacritic.com/movie/who-we-are-a-chronicle-of-racism-in-america
5.,Great Freedom,"March 4, 2022",89,6.4,"In post-war Germany, liberation by the Allies does not mean freedom for everyone. Hans is imprisoned again and again under Paragraph 175, a law criminalizing homosexuality. Over the course of decades, he develops an unlikely yet tender bond with his cellmate Viktor, a convicted murderer.",https://www.metacritic.com/movie/great-freedom
6.,RRR,"March 25, 2022",87,7.5,A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in 1920's.,https://www.metacritic.com/movie/rrr
7.,A Night of Knowing Nothing,"February 11, 2022",87,tbd,"Through fictional love letters found in a cupboard at the Film and Television Institute of India, we meet L, a film student writing to her estranged lover while he is away. Gradually we’re immersed in the drastic changes taking place at the school and in the lives of young people across the country as they take to the streets to protest widespread discrimination.",https://www.metacritic.com/movie/a-night-of-knowing-nothing
8.,In Front of Your Face,"May 6, 2022",87,tbd,"After years living abroad, former actress Sangok (Lee Hyeyoung) is back in Seoul, staying with her sister Jeongok (Cho Yunhee) in her high-rise apartment. The siblings sleep late, have breakfast in a cafe and visit a restaurant owned by Jeongok's son. But as the details of Sangok's day accrue (a spill on her blouse, an encounter at her childhood home), it becomes clear that there is much she is not revealing. And these mysterious circumstances have something to do with her decision to meet with film director Jaewon (Kwon Haehyo) to discuss her return to acting.",https://www.metacritic.com/movie/in-front-of-your-face
9.,Playground,"February 11, 2022",86,tbd,"Following 7-year-old Nora and her big brother Abel, we see Nora struggling to fit in before finding her place on the schoolyard. One day, she notices Abel being bullied by other kids, and though she rushes to protect him by warning their father, Abel forces her to remain silent, while he endures more humiliation and harassment by his peers.",https://www.metacritic.com/movie/playground
10.,Hold Your Fire,"May 20, 2022",86,tbd,"Brooklyn, 1973. When Shu’aib Raheem tried to steal guns for self-defense, it sparked the longest hostage siege in NYPD history. NYPD psychologist Harvey Schlossberg fought to reform police use of violence and save lives by using words, not guns.",https://www.metacritic.com/movie/hold-your-fire
11.,Happening,"May 6, 2022",86,tbd,"France, 1963. Anne is a bright young student with a promising future ahead of her. But when she falls pregnant, she sees the opportunity to finish her studies and escape the constraints of her social background disappearing. With her final exams fast approaching and her belly growing, Anne resolves to act, even if she has to confront shame and pain, even if she must risk prison to do so.",https://www.metacritic.com/movie/happening
12.,The Fallout,"January 27, 2022",84,7.0,"Bolstered by new friendships forged under sudden and tragic circumstances, high schooler Vada (Jenna Ortega) begins to reinvent herself, while re-evaluating her relationships with her family, friends and her view of the world. Moving away from her comfortable family routine, she starts taking chances with a series of quicksilver decisions that test her own boundaries and push her in new directions. As she spends more time with Mia (Maddie Ziegler), they grow closer, and Vada slowly redefines herself through their shared experiences, leading her further away from that day and closer to living her life in the now.",https://www.metacritic.com/movie/the-fallout
13.,"Lingui, The Sacred Bonds","February 4, 2022",83,6.5,"On the outskirts of the capital of Chad, determined single mother Amina works tirelessly to provide for herself and her 15-year old daughter Maria. When Amina discovers Maria is pregnant and does not want a child, the two women begin to seek out an abortion, condemned by both religion and law.",https://www.metacritic.com/movie/lingui
14.,The Girl and the Spider,"April 8, 2022",83,tbd,"As her roommate Lisa prepares to move out of their apartment, Mara contemplates the end of an era. Furniture is moved, walls painted, cupboards built. Amid all the hustle and bustle, secret longings and desires come to the surface and coalesce around the roommates as well as around Lisa’s mother Astrid, the movers, the girls’ old neighbors, the neighbors’ cat, Lisa’s new neighbor and an ever-expanding cast of characters. Day turns into night and one final party in the apartment. When the last box is moved, the fragments of their lives remain.",https://www.metacritic.com/movie/the-girl-and-the-spider
15.,Nitram,"March 30, 2022",83,tbd,"Nitram (Caleb Landry Jones) lives with his mother (Judy Davis) and father (Anthony LaPaglia) in suburban Australia in the Mid 1990s. He lives a life of isolation and frustration at never being able to fit in. That is until he unexpectedly finds a close friend in a reclusive heiress, Helen (Essie Davis). However, when that relationship meets a tragic end, and Nitram’s loneliness and anger grow, he begins a slow descent that leads to disaster.",https://www.metacritic.com/movie/nitram
16.,Turning Red,"March 11, 2022",83,6.4,"Mei Lee (voice of Rosalie Chiang) is a confident, dorky 13-year-old torn between staying her mother’s dutiful daughter and the chaos of adolescence. Her protective, if not slightly overbearing mother, Ming (voice of Sandra Oh), is never far from her daughter—an unfortunate reality for the teenager. And as if changes to her interests, relationships and body weren’t enough, whenever she gets too excited (which is practically ALWAYS), she “poofs” into a giant red panda!",https://www.metacritic.com/movie/turning-red-2022
17.,Belle,"January 14, 2022",83,7.7,"Suzu is a shy, everyday high school student living in a rural village. For years, she has only been a shadow of herself. But when she enters “U”, a massive virtual world, she escapes into her online persona as Belle, a gorgeous and globally-beloved singer. One day, her concert is interrupted by a monstrous creature chased by vigilantes. As their hunt escalates, Suzu embarks on an emotional and epic quest to uncover the identity of this mysterious “beast” and to discover her true self in a world where you can be anyone.",https://www.metacritic.com/movie/belle-2021
18.,Vortex,"April 29, 2022",82,6.5,"Presented in split screen, Vortex tells the story of an aging couple in a Paris apartment. As the mother (Françoise Lebrun) faces advancing dementia, the father (Dario Argento) tries to care for her while dealing with his own declining health, and their son (Alex Lutz) does his best in spite of his own significant personal problems.",https://www.metacritic.com/movie/vortex
19.,Poly Styrene: I Am a Cliché,"February 2, 2022",82,tbd,The death of punk icon and X-Ray Spex front-woman Poly Styrene sends her daughter on a journey through her mother's archives in this intimate documentary.,https://www.metacritic.com/movie/poly-styrene-i-am-a-cliche
20.,Navalny,"April 11, 2022",82,6.6,"In August 2020, Alexei Navalny survived an assassination attempt by poisoning with a lethal nerve agent. During his months-long recovery he, the investigative journalism outlet Bellingcat, and other international news organizations make shocking discoveries about the attempt on his life.",https://www.metacritic.com/movie/navalny
21.,A Hero,"January 7, 2022",82,7.8,"Rahim is in jail for a debt he hasn't been able to pay. During a two-day leave, he tries to convince his creditor to withdraw his complaint in exchange for paying back part of the debt. Rahim is then confronted with a crisis he would never have imagined.",https://www.metacritic.com/movie/a-hero
22.,The Northman,"April 22, 2022",82,7.5,"From visionary director Robert Eggers comes The Northman, an action-filled epic that follows a young Viking prince on his quest to avenge his father’s murder. With an all-star cast that includes Alexander Skarsgård, Nicole Kidman, Claes Bang, Anya Taylor-Joy, Ethan Hawke, Björk, and Willem Dafoe.",https://www.metacritic.com/movie/the-northman
23.,Everything Everywhere All at Once,"March 25, 2022",81,7.4,"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save the world by exploring other universes connecting with the lives she could have led.",https://www.metacritic.com/movie/everything-everywhere-all-at-once
24.,Top Gun: Maverick,"May 27, 2022",81,tbd,"After more than thirty years of service as one of the Navy’s top aviators, Pete “Maverick” Mitchell (Tom Cruise) is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground him. When he finds himself training a detachment of Top Gun graduates for a specialized mission the likes of which no living pilot has ever seen, Maverick encounters Lt. Bradley Bradshaw (Miles Teller), call sign: “Rooster,” the son of Maverick’s late friend and Radar Intercept Officer Lt. Nick Bradshaw, aka “Goose.”  Facing an uncertain future and confronting the ghosts of his past, Maverick is drawn into a confrontation with his own deepest fears, culminating in a mission that demands the ultimate sacrifice from those who will be chosen to fly it.",https://www.metacritic.com/movie/top-gun-maverick
25.,Cow,"April 8, 2022",80,7.5,"This intimate portrait of one dairy cow’s life highlights the beauty and challenges cows face, and their great service to us all.",https://www.metacritic.com/movie/cow
